numProcessors,totalIterations,timeDurationNs
1,16000000,2668335750
2,16000000,4199116630
3,16000000,3571187170
4,16000000,3546237140
5,16000000,3315603450
6,16000000,3482829600
7,16000000,3654526380
8,16000000,3629501700
9,16000000,3243402790
10,16000000,3595656920
11,16000000,3648084030
12,16000000,3707610470
13,16000000,3556636920
14,16000000,3548588120
15,16000000,3608671200
16,16000000,3818573310
